peak widths (min),peak valley ratio (fixed asym),peak asym,peak valley ratio (fixed width) 
0.01,inf,1.01,2.6755937507833787
0.02,inf,1.02,2.5973640487684655
0.03,inf,1.03,2.509413542695092
0.04,inf,1.04,2.424619661936046
0.08,372.77965879946686,1.05,2.331220487559981
0.09,110.65555111903237,1.06,2.2417753408863934
0.1,54.98918555161119,1.07,2.1727482500092137
0.11,27.374273184284405,1.08,2.091558922042392
0.12,15.96772552008374,1.09,2.026261354632009
0.13,10.45348278644626,1.1,1.9855668080353686
0.14,7.117723980839884,1.11,1.932790246957355
0.15,5.178413893207951,1.12,1.8795995925278577
0.16,3.9275259110731695,1.13,1.8264984164640645
0.17,3.110885151483646,1.14,1.7954380158977843
0.18,2.5703187888309054,1.15,1.7659067289108117
0.19,2.172797844207764,1.16,1.7221785042594353
0.2,1.8795995925278577,1.17,1.6953428335231326
0.21,1.656824101072863,1.18,1.6757740244953299
0.22,1.4967421297531427,1.19,1.6595575253795511
0.23,1.3813617614069431,1.2,1.63858104602924
0.24,1.2903184967308534,1.21,1.6217452409199984
0.25,1.2159698277990973,1.22,1.6050324527478286
0.26,1.1544147975293755,1.23,1.5911613197730003
0.27,1.1059210837183817,1.24,1.5752119589123927
0.28,1.0148461438322096,1.25,1.5620524770709845
0.29,1.0,1.26,1.5485719175556047
0.3,1.0,1.27,1.5364999250107338
0.31,1.0,1.28,1.4702522777887295
0.32,1.0,1.29,1.4606547713134654
0.33,1.0,1.3,1.4534013267405441
0.34,1.0,1.31,1.4436156223689685
0.35,1.0,1.32,1.4357377671029143
0.36,1.0,1.33,1.4285345820340645
0.37,1.0,1.34,1.4204191302047977
0.38,1.0,1.35,1.4130616084849332
0.39,1.0,1.36,1.408849818839626
0.4,1.0,1.37,1.4018632685318377
0.41,1.0,1.38,1.3949311800550082
0.42,1.0,1.39,1.3896501598243294
0.43,1.0,1.4,1.3828572959972791
0.44,1.0,1.41,1.3790297733249206
0.45,1.0,1.42,1.3736847123153222
0.46,1.0,1.43,1.3685287469145422
0.47,1.0,1.44,1.3650976146281901
0.48,1.0,1.45,1.35952768731614
0.49,1.0,1.46,1.3556817177065201
0.5,1.0,1.47,1.35072617892779
0.51,1.0,1.48,1.3480302088284617
0.52,1.0,1.49,1.34351048749341
0.53,1.0,1.5,1.3398075998157586
0.54,1.0,1.51,1.3373200072020244
0.55,1.0,1.52,1.3335150827023232
0.56,1.0,1.53,1.3297649874406046
0.57,1.0,1.54,1.3264023950701676
0.58,1.0,1.55,1.3251257233836633
0.59,1.0,1.56,1.3214402635705012
0.6,1.0,1.57,1.319364405874724
0.61,1.0,1.58,1.3166843339971976
0.62,1.0,1.59,1.313675017504975
0.63,1.0,1.6,1.3129125139237798
0.64,1.0,1.61,1.310035754480859
0.65,1.0,1.62,1.3084097294086048
0.66,1.0,1.63,1.3061559997680268
0.67,1.0,1.64,1.303753433477081
0.68,1.0,1.65,1.2914927582426146
0.69,1.0,1.66,1.2556086458186773
0.7,1.0,1.67,1.2013465356462467
0.71,1.0,1.68,1.1535411938003133
0.72,1.0,1.69,1.1242485523267063
0.73,1.0,1.7,1.0847870569535456
0.74,1.0,1.71,1.0697279957988706
0.75,1.0,1.72,1.0438111916395276
0.76,1.0,1.73,1.0285960435784336
0.77,1.0,1.74,1.0044606523059574
0.78,1.0,1.75,1.0
0.79,1.0,1.76,1.0
0.8,1.0,1.77,1.0
0.81,1.0,1.78,1.0
0.82,1.0,1.79,1.0
